,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
J. Allen Bal - RB,5.05,5.18,5.23,5.32,5.34,5.35,4.66,0,5.23,5.2,5.05,4.79,5.57,5.04,5.45,4.88,4.75,0
P. Perkins NYG - RB,4.98,5.23,5.44,5.18,5.01,4.81,4.93,0,6.02,4.36,4.83,5.07,4.6,5.46,4.97,5.91,4.93,0
T. West Bal - RB,4.88,5.22,5.18,5.27,5.45,5.25,4.29,0,5.04,5.26,5,4.6,5.81,4.95,5.7,4.8,4.58,0
D. Lewis NE - RB,0,0,0,0,0,0,0,0,0,8.63,9.86,8.86,10.09,9.78,8.78,9.09,9.78,0
R. Bush Buf - RB,4.4,4.14,4.5,4.59,4.79,5.19,4.99,4.55,4.28,0,4.17,4.73,4.75,4.63,5.06,5.45,4.01,0
D. Washington Oak - RB,4.92,4.54,4.82,4.14,4.33,4.02,4.13,4.02,4.02,0,3.83,3.86,4.26,4.04,4.13,4.53,3.61,0
W. Smallwood Phi - RB,4.32,4.06,3.79,0,4.2,4.2,4.13,4.3,4.64,3.81,3.24,4.19,3.93,4.6,3.83,4.71,4.2,0
S. Ware KC - RB,4.42,3.88,3.67,3.9,0,4.04,4.74,4.6,4.7,3.48,3.81,3.45,4.22,4.5,4.26,3.93,4.36,0
T. Hightower NO - RB,3.91,4.16,4.18,4.38,0,3.75,3.78,3.53,4.75,3.47,3.48,4.16,4.33,4.06,3.59,4.2,3.82,0
C. Michael Sea - RB,4.17,3.89,4.46,3.47,0,3.85,3.45,4.2,4.27,3.46,4.2,3.6,3.73,4.29,4.08,3.82,4.16,0
